user id: 00008b,start time: 1659797010558
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1659797231454","Closing the timer.","04-Task2Scene","False","(-1.85, -0.15, 0.11)","(-0.13, 0.26, 0.96)","(0.00, 0.00, 0.00)","","null","null","null","null","(-1.85, -0.15, 0.11)","(-0.13, 0.26, 0.96)","(0.00, 0.00, 0.00)","","(-2.46, 0.58, 2.94)","(-2.11, -0.07, 0.66)","(-1.91, -0.07, 0.70)","","closing_timer"
"1659797232490","Instantiating instructions.","04-Task2Scene","False","(-1.72, -0.15, 0.35)","(-0.54, 0.31, 0.78)","(-1.77, -0.12, 0.43)","Quad","null","null","(-1.92, -0.24, 0.69)","(-1.84, -0.31, 0.65)","(-1.72, -0.15, 0.35)","(-0.54, 0.31, 0.78)","(-1.77, -0.12, 0.43)","Quad","(-3.05, 0.61, 2.83)","","","","showing_instructions"
"1659797240751","Instructions finished.","04-Task2Scene","False","(-1.88, -0.16, 0.44)","(-0.77, 0.15, 0.62)","(0.00, 0.00, 0.00)","","null","null","null","null","(-1.88, -0.16, 0.44)","(-0.77, 0.15, 0.62)","(0.00, 0.00, 0.00)","","","","","","instructions_finished"
"1659797241785","Reseting both buttons.","04-Task2Scene","False","(-1.89, -0.16, 0.40)","(-0.98, 0.19, 0.07)","(-1.98, -0.14, 0.40)","Quad","null","null","null","null","(-1.89, -0.16, 0.40)","(-0.98, 0.19, 0.07)","(-1.98, -0.14, 0.40)","Quad","","","","",""
"1659797285556","Button 1 pressed, playing animation 1.","04-Task2Scene","False","(-1.56, -0.16, 0.02)","(0.22, 0.06, 0.97)","(0.00, 0.00, 0.00)","","null","null","(-1.36, -0.36, 0.64)","(-1.38, -0.35, 0.53)","(-1.56, -0.16, 0.02)","(0.22, 0.06, 0.97)","(0.00, 0.00, 0.00)","","(-0.40, -0.27, 2.66)","(-1.46, -0.26, 0.50)","(-1.27, -0.26, 0.42)","","button1_pressed"
"1659797292587","Animation finished.","04-Task2Scene","False","(-1.48, -0.23, 0.03)","(0.59, -0.39, 0.71)","(0.00, 0.00, 0.00)","","null","null","null","null","(-1.48, -0.23, 0.03)","(0.59, -0.39, 0.71)","(0.00, 0.00, 0.00)","","(-0.35, -1.34, 1.31)","","","","animation_finished"
"1659797293591","Instantiating middle instructions.","04-Task2Scene","False","(-1.50, -0.28, 0.11)","(0.50, -0.54, 0.68)","(-1.45, -0.33, 0.18)","Quad","null","null","null","null","(-1.50, -0.28, 0.11)","(0.50, -0.54, 0.68)","(-1.45, -0.33, 0.18)","Quad","(-0.55, -1.58, 1.24)","","","",""
"1659797293593","Instantiating instructions.","04-Task2Scene","False","(-1.50, -0.28, 0.11)","(0.50, -0.54, 0.68)","(-1.45, -0.33, 0.18)","Quad","null","null","null","null","(-1.50, -0.28, 0.11)","(0.50, -0.54, 0.68)","(-1.45, -0.33, 0.18)","Quad","(-0.55, -1.58, 1.24)","","","","showing_instructions"
"1659797301152","Instructions finished.","04-Task2Scene","False","(-1.59, -0.27, -0.10)","(-0.17, -0.71, 0.69)","(0.00, 0.00, 0.00)","","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","(-1.50, -0.78, -0.12)","(-1.45, -0.70, -0.11)","(-1.59, -0.27, -0.10)","(-0.17, -0.71, 0.69)","(0.00, 0.00, 0.00)","","","","","","instructions_finished"
"1659797302200","Middle instructions finished, starting the timer.","04-Task2Scene","False","(-1.75, -0.28, -0.08)","(-0.26, -0.72, 0.65)","(-1.78, -0.36, -0.01)","Quad","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-1.75, -0.28, -0.08)","(-0.26, -0.72, 0.65)","(-1.78, -0.36, -0.01)","Quad","","","","",""
